ParticipantID,Gender,Age,Region,ProgramType,HealthKnowledgeScore,MonthlySavings,HouseholdSanitationScore,AttendedAllSessions,ReportedEmpowerment,SatisfactionRating
383,Female,29,Northern,Community Sanitation,,,4.3,Yes,Yes,9.2
384,Female,38,Southern,Adolescent Health,75.1,,,Yes,Yes,9.5
385,Male,33,Northern,Community Sanitation,,,1.1,No,No,6.8
386,Male,18,Northern,Adolescent Health,59.8,,,No,No,6.8
387,Male,20,Central,Adolescent Health,77.0,,,No,Yes,7.2
388,Female,36,Northern,Women's Economic Empowerment,,67.68,,Yes,Yes,1.4
389,Male,35,Central,Adolescent Health,81.3,,,Yes,No,3.4
390,Female,17,Northern,Adolescent Health,90.6,,,Yes,Yes,3.3
391,Female,28,Northern,Women's Economic Empowerment,,106.24,,Yes,No,8.0
392,Male,37,Southern,Adolescent Health,73.1,,,Yes,Yes,2.5
393,Male,44,Central,Adolescent Health,50.1,,,No,Yes,7.7
394,Female,24,Northern,Women's Economic Empowerment,,103.79,,Yes,No,4.8
395,Male,44,Southern,Adolescent Health,75.6,,,No,No,3.4
396,Male,38,Central,Women's Economic Empowerment,,59.52,,Yes,Yes,9.1
397,Female,44,Northern,Community Sanitation,,,2.0,Yes,Yes,3.7
398,Female,24,Southern,Women's Economic Empowerment,,124.84,,No,Yes,8.0
399,Male,19,Northern,Women's Economic Empowerment,,93.93,,No,Yes,7.8
400,Male,43,Central,Adolescent Health,62.1,,,Yes,Yes,4.4
